出品者SKU,商品名,ASIN,販売価格,在庫数,コンディション,商品タイプ,データ年月
SKU-GEN-0001,商品C-001,B083891239,19886,245,新品,PRODUCT,2025-08
SKU-GEN-0001,商品C-001,B083891239,20104,159,新品,PRODUCT,2025-07
SKU-GEN-0001,商品C-001,B083891239,21946,217,新品,PRODUCT,2025-06
SKU-GEN-0001,商品C-001,B083891239,22409,149,新品,PRODUCT,2025-05
SKU-GEN-0001,商品C-001,B083891239,24656,262,新品,PRODUCT,2025-04
SKU-GEN-0001,商品C-001,B083891239,27846,119,新品,PRODUCT,2025-03
SKU-GEN-0001,商品C-001,B083891239,25769,131,新品,PRODUCT,2025-02
SKU-GEN-0001,商品C-001,B083891239,25600,115,新品,PRODUCT,2025-01
SKU-GEN-0001,商品C-001,B083891239,23341,310,新品,PRODUCT,2024-12
SKU-GEN-0001,商品C-001,B083891239,19695,231,新品,PRODUCT,2024-11
SKU-GEN-0001,商品C-001,B083891239,18272,208,新品,PRODUCT,2024-10
SKU-GEN-0001,商品C-001,B083891239,13720,175,新品,PRODUCT,2024-09
SKU-GEN-0001,商品C-001,B083891239,12252,183,新品,PRODUCT,2024-08
SKU-GEN-0001,商品C-001,B083891239,11919,140,新品,PRODUCT,2024-07
SKU-GEN-0001,商品C-001,B083891239,12953,134,新品,PRODUCT,2024-06
SKU-GEN-0001,商品C-001,B083891239,12560,58,新品,PRODUCT,2024-05
SKU-GEN-0001,商品C-001,B083891239,15105,185,新品,PRODUCT,2024-04
SKU-GEN-0001,商品C-001,B083891239,17824,263,新品,PRODUCT,2024-03
SKU-GEN-0001,商品C-001,B083891239,17340,168,新品,PRODUCT,2024-02
SKU-GEN-0001,商品C-001,B083891239,19565,150,新品,PRODUCT,2024-01
SKU-GEN-0001,商品C-001,B083891239,23726,136,新品,PRODUCT,2023-12
SKU-GEN-0001,商品C-001,B083891239,20303,157,新品,PRODUCT,2023-11
SKU-GEN-0001,商品C-001,B083891239,27095,254,新品,PRODUCT,2023-10
SKU-GEN-0001,商品C-001,B083891239,27973,172,新品,PRODUCT,2023-09
SKU-GEN-0001,商品C-001,B083891239,23041,239,新品,PRODUCT,2023-08
SKU-GEN-0001,商品C-001,B083891239,21251,173,新品,PRODUCT,2023-07
SKU-GEN-0001,商品C-001,B083891239,23689,259,新品,PRODUCT,2023-06
SKU-GEN-0001,商品C-001,B083891239,19829,145,新品,PRODUCT,2023-05
SKU-GEN-0001,商品C-001,B083891239,18691,128,新品,PRODUCT,2023-04
SKU-GEN-0001,商品C-001,B083891239,14366,146,新品,PRODUCT,2023-03
SKU-GEN-0001,商品C-001,B083891239,12174,154,新品,PRODUCT,2023-02
SKU-GEN-0001,商品C-001,B083891239,13035,125,新品,PRODUCT,2023-01
SKU-GEN-0001,商品C-001,B083891239,15183,210,新品,PRODUCT,2022-12
SKU-GEN-0001,商品C-001,B083891239,15256,103,新品,PRODUCT,2022-11
SKU-GEN-0001,商品C-001,B083891239,15389,88,新品,PRODUCT,2022-10
SKU-GEN-0001,商品C-001,B083891239,16490,97,新品,PRODUCT,2022-09
SKU-GEN-0002,商品D-002,B089966347,20284,83,新品,PRODUCT,2025-08
SKU-GEN-0002,商品D-002,B089966347,16161,84,新品,PRODUCT,2025-07
SKU-GEN-0002,商品D-002,B089966347,17259,65,新品,PRODUCT,2025-06
