出品者SKU,商品名,ASIN,販売価格,在庫数,コンディション,商品タイプ,データ年月
SKU-ELEC-001,ワイヤレスイヤホン Pro,B08N5WRWNW,8980,25,new_new,WIRELESS_ACCESSORY,2022-01
SKU-ELEC-001,ワイヤレスイヤホン Pro,B08N5WRWNW,8980,18,new_new,WIRELESS_ACCESSORY,2022-07
SKU-ELEC-001,ワイヤレスイヤホン Pro,B08N5WRWNW,7980,12,new_new,WIRELESS_ACCESSORY,2023-01
SKU-ELEC-001,ワイヤレスイヤホン Pro,B08N5WRWNW,7980,8,new_new,WIRELESS_ACCESSORY,2023-07
SKU-ELEC-001,ワイヤレスイヤホン Pro,B08N5WRWNW,6980,5,new_new,WIRELESS_ACCESSORY,2024-01
SKU-ELEC-001,ワイヤレスイヤホン Pro,B08N5WRWNW,6980,3,new_new,WIRELESS_ACCESSORY,2024-07
SKU-HOME-002,スマートLED電球,B07DJHX9S8,2480,40,new_new,LIGHT_BULB,2022-01
SKU-HOME-002,スマートLED電球,B07DJHX9S8,2480,35,new_new,LIGHT_BULB,2022-07
SKU-HOME-002,スマートLED電球,B07DJHX9S8,2280,30,new_new,LIGHT_BULB,2023-01
SKU-HOME-002,スマートLED電球,B07DJHX9S8,2280,28,new_new,LIGHT_BULB,2023-07
SKU-HOME-002,スマートLED電球,B07DJHX9S8,1980,25,new_new,LIGHT_BULB,2024-01
SKU-HOME-002,スマートLED電球,B07DJHX9S8,1980,22,new_new,LIGHT_BULB,2024-07
SKU-BOOK-003,プログラミング入門書,B09KMJNBVX,2980,50,new_new,ABIS_BOOK,2022-01
SKU-BOOK-003,プログラミング入門書,B09KMJNBVX,2980,45,new_new,ABIS_BOOK,2022-07
SKU-BOOK-003,プログラミング入門書,B09KMJNBVX,2780,40,new_new,ABIS_BOOK,2023-01
SKU-BOOK-003,プログラミング入門書,B09KMJNBVX,2780,38,new_new,ABIS_BOOK,2023-07
SKU-BOOK-003,プログラミング入門書,B09KMJNBVX,2580,35,new_new,ABIS_BOOK,2024-01
SKU-BOOK-003,プログラミング入門書,B09KMJNBVX,2580,32,new_new,ABIS_BOOK,2024-07
SKU-KITC-004,ステンレス包丁セット,B08XMPL6YZ,6980,15,new_new,KNIFE,2022-01
SKU-KITC-004,ステンレス包丁セット,B08XMPL6YZ,6980,12,new_new,KNIFE,2022-07
SKU-KITC-004,ステンレス包丁セット,B08XMPL6YZ,6480,10,new_new,KNIFE,2023-01
SKU-KITC-004,ステンレス包丁セット,B08XMPL6YZ,6480,8,new_new,KNIFE,2023-07
SKU-KITC-004,ステンレス包丁セット,B08XMPL6YZ,5980,6,new_new,KNIFE,2024-01
SKU-KITC-004,ステンレス包丁セット,B08XMPL6YZ,5980,5,new_new,KNIFE,2024-07
SKU-SPOR-005,ヨガマット 厚手,B07QRST9UV,4980,30,new_new,EXERCISE_MAT,2022-01
SKU-SPOR-005,ヨガマット 厚手,B07QRST9UV,4980,28,new_new,EXERCISE_MAT,2022-07
SKU-SPOR-005,ヨガマット 厚手,B07QRST9UV,4680,25,new_new,EXERCISE_MAT,2023-01
SKU-SPOR-005,ヨガマット 厚手,B07QRST9UV,4680,22,new_new,EXERCISE_MAT,2023-07
SKU-SPOR-005,ヨガマット 厚手,B07QRST9UV,4280,20,new_new,EXERCISE_MAT,2024-01
SKU-SPOR-005,ヨガマット 厚手,B07QRST9UV,4280,18,new_new,EXERCISE_MAT,2024-07
SKU-BEAU-006,オーガニックシャンプー,B09VWXYZ12,2980,60,new_new,SHAMPOO,2022-01
SKU-BEAU-006,オーガニックシャンプー,B09VWXYZ12,2980,55,new_new,SHAMPOO,2022-07
SKU-BEAU-006,オーガニックシャンプー,B09VWXYZ12,2780,50,new_new,SHAMPOO,2023-01
SKU-BEAU-006,オーガニックシャンプー,B09VWXYZ12,2780,48,new_new,SHAMPOO,2023-07
SKU-BEAU-006,オーガニックシャンプー,B09VWXYZ12,2580,45,new_new,SHAMPOO,2024-01
SKU-BEAU-006,オーガニックシャンプー,B09VWXYZ12,2580,42,new_new,SHAMPOO,2024-07
SKU-TOYS-007,知育パズル 木製,B08ABCDEF3,3480,20,new_new,TOY_FIGURE,2022-01
SKU-TOYS-007,知育パズル 木製,B08ABCDEF3,3480,18,new_new,TOY_FIGURE,2022-07
SKU-TOYS-007,知育パズル 木製,B08ABCDEF3,3280,15,new_new,TOY_FIGURE,2023-01
SKU-TOYS-007,知育パズル 木製,B08ABCDEF3,3280,12,new_new,TOY_FIGURE,2023-07
SKU-TOYS-007,知育パズル 木製,B08ABCDEF3,2980,10,new_new,TOY_FIGURE,2024-01
SKU-TOYS-007,知育パズル 木製,B08ABCDEF3,2980,8,new_new,TOY_FIGURE,2024-07
SKU-GARD-008,多肉植物セット,B07GHIJKL4,2480,12,new_new,LIVE_PLANT,2022-01
